halo_bps,design,draws,mean_truth,mean_estimate,bias_pp,rmse_pp,coverage,width_pp
0,A: competitor-set control,8,0.09290474201083657,0.11716278655957249,2.4258044548735875,2.593868848138355,0.25,2.3688876263199803
0,C: market-wide prior-year,8,0.09290474201083657,0.11278192903105363,1.9877187020217026,7.673710757091853,0.625,17.85956038190033
0,D: clean-pool control,8,0.09290474201083657,0.08671023139682649,-0.6194510614010087,1.0802207144891884,0.5,2.889581733103192
50,A: competitor-set control,8,0.09290474201083657,0.11162211013578904,1.8717368124952425,2.0820131062471106,0.25,2.357134178240471
50,C: market-wide prior-year,8,0.09290474201083657,0.11278192903105363,1.9877187020217026,7.673710757091853,0.625,17.85956038190033
50,D: clean-pool control,8,0.09290474201083657,0.08155339612629106,-1.1351345884545498,1.4413236559247098,0.625,2.8758079706242716
100,A: competitor-set control,8,0.09290474201083657,0.10613620917256908,1.3231467161732462,1.6031621118987458,0.5,2.345496949484814
100,C: market-wide prior-year,8,0.09290474201083657,0.11278192903105363,1.9877187020217026,7.673710757091853,0.625,17.85956038190033
100,D: clean-pool control,8,0.09290474201083657,0.07644648166063567,-1.6458260350200875,1.8718958086875002,0.625,2.862167848262737
200,A: competitor-set control,8,0.09290474201083657,0.09532551470962354,0.242077269878695,0.9246008336168497,0.75,2.3225643192850627
200,C: market-wide prior-year,8,0.09290474201083657,0.11278192903105363,1.9877187020217026,7.673710757091853,0.625,17.85956038190033
200,D: clean-pool control,8,0.09290474201083657,0.06637952123712185,-2.65252207737147,2.8010107132899176,0.125,2.835280764987717
